"scenario","method","replication","q","fpr","ssp","selected_count"
"Clean homoskedastic","Spearman SIS",11,0.01,0.0110552763819095,1,16
"Clean homoskedastic","Spearman SIS",11,0.025,0.0221105527638191,1,27
"Clean homoskedastic","Spearman SIS",11,0.05,0.0472361809045226,1,52
"Clean homoskedastic","Spearman SIS",11,0.1,0.0984924623115578,1,103
"Clean homoskedastic","Spearman SIS",11,0.2,0.197989949748744,1,202
"Clean homoskedastic","Spearman SIS",11,0.3,0.299497487437186,1,303
"Clean homoskedastic","mfscreen",12,0.001,0,1,5
"Clean homoskedastic","mfscreen",12,0.005,0.00703517587939699,1,12
"Clean homoskedastic","mfscreen",12,0.01,0.0110552763819095,1,16
"Clean homoskedastic","mfscreen",12,0.025,0.0231155778894472,1,28
"Clean homoskedastic","mfscreen",12,0.05,0.0552763819095477,1,60
"Clean homoskedastic","mfscreen",12,0.1,0.109547738693467,1,114
"Clean homoskedastic","mfscreen",12,0.2,0.2,1,204
"Clean homoskedastic","mfscreen",12,0.3,0.301507537688442,1,305
"Clean homoskedastic","Pearson SIS",12,0.001,0,1,5
"Clean homoskedastic","Pearson SIS",12,0.005,0.00603015075376884,1,11
"Clean homoskedastic","Pearson SIS",12,0.01,0.0100502512562814,1,15
"Clean homoskedastic","Pearson SIS",12,0.025,0.0251256281407035,1,30
"Clean homoskedastic","Pearson SIS",12,0.05,0.0522613065326633,1,57
"Clean homoskedastic","Pearson SIS",12,0.1,0.10251256281407,1,107
"Clean homoskedastic","Pearson SIS",12,0.2,0.197989949748744,1,202
"Clean homoskedastic","Pearson SIS",12,0.3,0.301507537688442,1,305
"Clean homoskedastic","Spearman SIS",12,0.001,0,1,5
"Clean homoskedastic","Spearman SIS",12,0.005,0.00301507537688442,1,8
"Clean homoskedastic","Spearman SIS",12,0.01,0.0100502512562814,1,15
"Clean homoskedastic","Spearman SIS",12,0.025,0.0251256281407035,1,30
"Clean homoskedastic","Spearman SIS",12,0.05,0.057286432160804,1,62
"Clean homoskedastic","Spearman SIS",12,0.1,0.0954773869346734,1,100
"Clean homoskedastic","Spearman SIS",12,0.2,0.190954773869347,1,195
"Clean homoskedastic","Spearman SIS",12,0.3,0.294472361809045,1,298
"Clean homoskedastic","mfscreen",13,0.001,0,1,5
"Clean homoskedastic","mfscreen",13,0.005,0.00402010050251256,1,9
"Clean homoskedastic","mfscreen",13,0.01,0.00703517587939699,1,12
"Clean homoskedastic","mfscreen",13,0.025,0.0271356783919598,1,32
"Clean homoskedastic","mfscreen",13,0.05,0.0552763819095477,1,60
"Clean homoskedastic","mfscreen",13,0.1,0.109547738693467,1,114
"Clean homoskedastic","mfscreen",13,0.2,0.210050251256281,1,214
"Clean homoskedastic","mfscreen",13,0.3,0.309547738693467,1,313
"Clean homoskedastic","Pearson SIS",13,0.001,0,1,5
"Clean homoskedastic","Pearson SIS",13,0.005,0.00100502512562814,1,6
"Clean homoskedastic","Pearson SIS",13,0.01,0.00904522613065327,1,14
"Clean homoskedastic","Pearson SIS",13,0.025,0.0241206030150754,1,29
"Clean homoskedastic","Pearson SIS",13,0.05,0.050251256281407,1,55
"Clean homoskedastic","Pearson SIS",13,0.1,0.108542713567839,1,113
"Clean homoskedastic","Pearson SIS",13,0.2,0.208040201005025,1,212
"Clean homoskedastic","Pearson SIS",13,0.3,0.306532663316583,1,310
"Clean homoskedastic","Spearman SIS",13,0.001,0.00100502512562814,1,6
"Clean homoskedastic","Spearman SIS",13,0.005,0.00301507537688442,1,8
"Clean homoskedastic","Spearman SIS",13,0.01,0.00804020100502513,1,13
"Clean homoskedastic","Spearman SIS",13,0.025,0.0231155778894472,1,28
"Clean homoskedastic","Spearman SIS",13,0.05,0.0472361809045226,1,52
"Clean homoskedastic","Spearman SIS",13,0.1,0.0984924623115578,1,103
"Clean homoskedastic","Spearman SIS",13,0.2,0.218090452261307,1,222
"Clean homoskedastic","Spearman SIS",13,0.3,0.312562814070352,1,316
"Clean homoskedastic","mfscreen",14,0.001,0,1,5
"Clean homoskedastic","mfscreen",14,0.005,0.00301507537688442,1,8
"Clean homoskedastic","mfscreen",14,0.01,0.0100502512562814,1,15
"Clean homoskedastic","mfscreen",14,0.025,0.021105527638191,1,26
"Clean homoskedastic","mfscreen",14,0.05,0.0482412060301508,1,53
"Clean homoskedastic","mfscreen",14,0.1,0.0974874371859296,1,102
"Clean homoskedastic","mfscreen",14,0.2,0.204020100502513,1,208
"Clean homoskedastic","mfscreen",14,0.3,0.307537688442211,1,311
"Clean homoskedastic","Pearson SIS",14,0.001,0,1,5
"Clean homoskedastic","Pearson SIS",14,0.005,0.00301507537688442,1,8
"Clean homoskedastic","Pearson SIS",14,0.01,0.00904522613065327,1,14
"Clean homoskedastic","Pearson SIS",14,0.025,0.0190954773869347,1,24
"Clean homoskedastic","Pearson SIS",14,0.05,0.0492462311557789,1,54
"Clean homoskedastic","Pearson SIS",14,0.1,0.0964824120603015,1,101
"Clean homoskedastic","Pearson SIS",14,0.2,0.207035175879397,1,211
"Clean homoskedastic","Pearson SIS",14,0.3,0.30251256281407,1,306
"Clean homoskedastic","Spearman SIS",14,0.001,0,1,5
"Clean homoskedastic","Spearman SIS",14,0.005,0.00301507537688442,1,8
"Clean homoskedastic","Spearman SIS",14,0.01,0.00703517587939699,1,12
"Clean homoskedastic","Spearman SIS",14,0.025,0.0231155778894472,1,28
"Clean homoskedastic","Spearman SIS",14,0.05,0.0442211055276382,1,49
"Clean homoskedastic","Spearman SIS",14,0.1,0.0894472361809045,1,94
"Clean homoskedastic","Spearman SIS",14,0.2,0.201005025125628,1,205
"Clean homoskedastic","Spearman SIS",14,0.3,0.321608040201005,1,325
"Clean homoskedastic","mfscreen",15,0.001,0,1,5
"Clean homoskedastic","mfscreen",15,0.005,0.00402010050251256,1,9
"Clean homoskedastic","mfscreen",15,0.01,0.00804020100502513,1,13
"Clean homoskedastic","mfscreen",15,0.025,0.0251256281407035,1,30
"Clean homoskedastic","mfscreen",15,0.05,0.0462311557788945,1,51
"Clean homoskedastic","mfscreen",15,0.1,0.0964824120603015,1,101
"Clean homoskedastic","mfscreen",15,0.2,0.185929648241206,1,190
"Clean homoskedastic","mfscreen",15,0.3,0.284422110552764,1,288
"Clean homoskedastic","Pearson SIS",15,0.001,0,1,5
"Clean homoskedastic","Pearson SIS",15,0.005,0.00402010050251256,1,9
"Clean homoskedastic","Pearson SIS",15,0.01,0.00703517587939699,1,12
"Clean homoskedastic","Pearson SIS",15,0.025,0.0251256281407035,1,30
"Clean homoskedastic","Pearson SIS",15,0.05,0.0452261306532663,1,50
"Clean homoskedastic","Pearson SIS",15,0.1,0.0954773869346734,1,100
"Clean homoskedastic","Pearson SIS",15,0.2,0.191959798994975,1,196
"Clean homoskedastic","Pearson SIS",15,0.3,0.281407035175879,1,285
"Clean homoskedastic","Spearman SIS",15,0.001,0,0,4
"Clean homoskedastic","Spearman SIS",15,0.005,0.00100502512562814,1,6
"Clean homoskedastic","Spearman SIS",15,0.01,0.0100502512562814,1,15
"Clean homoskedastic","Spearman SIS",15,0.025,0.0190954773869347,1,24
"Clean homoskedastic","Spearman SIS",15,0.05,0.0422110552763819,1,47
"Clean homoskedastic","Spearman SIS",15,0.1,0.0894472361809045,1,94
"Clean homoskedastic","Spearman SIS",15,0.2,0.196984924623116,1,201
"Clean homoskedastic","Spearman SIS",15,0.3,0.301507537688442,1,305
"Clean homoskedastic","mfscreen",16,0.001,0.00301507537688442,1,8
"Clean homoskedastic","mfscreen",16,0.005,0.00603015075376884,1,11
"Clean homoskedastic","mfscreen",16,0.01,0.00703517587939699,1,12
"Clean homoskedastic","mfscreen",16,0.025,0.0180904522613065,1,23
"Clean homoskedastic","mfscreen",16,0.05,0.0462311557788945,1,51
"Clean homoskedastic","mfscreen",16,0.1,0.0984924623115578,1,103
"Clean homoskedastic","mfscreen",16,0.2,0.197989949748744,1,202
"Clean homoskedastic","mfscreen",16,0.3,0.319597989949749,1,323
"Clean homoskedastic","Pearson SIS",16,0.001,0.00301507537688442,1,8
"Clean homoskedastic","Pearson SIS",16,0.005,0.0050251256281407,1,10
"Clean homoskedastic","Pearson SIS",16,0.01,0.00804020100502513,1,13
"Clean homoskedastic","Pearson SIS",16,0.025,0.0180904522613065,1,23
"Clean homoskedastic","Pearson SIS",16,0.05,0.0442211055276382,1,49
"Clean homoskedastic","Pearson SIS",16,0.1,0.0984924623115578,1,103
"Clean homoskedastic","Pearson SIS",16,0.2,0.193969849246231,1,198
"Clean homoskedastic","Pearson SIS",16,0.3,0.311557788944724,1,315
"Clean homoskedastic","Spearman SIS",16,0.001,0.00201005025125628,1,7
"Clean homoskedastic","Spearman SIS",16,0.005,0.00603015075376884,1,11
"Clean homoskedastic","Spearman SIS",16,0.01,0.0100502512562814,1,15
"Clean homoskedastic","Spearman SIS",16,0.025,0.0231155778894472,1,28
