"model","method","replication","q","fpr","ssp"
"Parametric linear","Spearman SIS",17,0.2,0.21105527638191,1
"Parametric linear","Spearman SIS",17,0.3,0.309547738693467,1
"Parametric linear","mfscreen",18,0.001,0.00201005025125628,0
"Parametric linear","mfscreen",18,0.005,0.00804020100502513,0
"Parametric linear","mfscreen",18,0.01,0.0120603015075377,0
"Parametric linear","mfscreen",18,0.025,0.0271356783919598,0
"Parametric linear","mfscreen",18,0.05,0.0422110552763819,0
"Parametric linear","mfscreen",18,0.1,0.100502512562814,0
"Parametric linear","mfscreen",18,0.2,0.204020100502513,1
"Parametric linear","mfscreen",18,0.3,0.306532663316583,1
"Parametric linear","Pearson SIS",18,0.001,0.00201005025125628,0
"Parametric linear","Pearson SIS",18,0.005,0.00804020100502513,0
"Parametric linear","Pearson SIS",18,0.01,0.0110552763819095,0
"Parametric linear","Pearson SIS",18,0.025,0.0241206030150754,0
"Parametric linear","Pearson SIS",18,0.05,0.0422110552763819,0
"Parametric linear","Pearson SIS",18,0.1,0.100502512562814,0
"Parametric linear","Pearson SIS",18,0.2,0.2,1
"Parametric linear","Pearson SIS",18,0.3,0.305527638190955,1
"Parametric linear","Spearman SIS",18,0.001,0.00100502512562814,0
"Parametric linear","Spearman SIS",18,0.005,0.00703517587939699,0
"Parametric linear","Spearman SIS",18,0.01,0.0130653266331658,0
"Parametric linear","Spearman SIS",18,0.025,0.0271356783919598,0
"Parametric linear","Spearman SIS",18,0.05,0.050251256281407,0
"Parametric linear","Spearman SIS",18,0.1,0.0984924623115578,1
"Parametric linear","Spearman SIS",18,0.2,0.198994974874372,1
"Parametric linear","Spearman SIS",18,0.3,0.30251256281407,1
"Parametric linear","mfscreen",19,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",19,0.005,0.0050251256281407,0
"Parametric linear","mfscreen",19,0.01,0.0100502512562814,0
"Parametric linear","mfscreen",19,0.025,0.0271356783919598,0
"Parametric linear","mfscreen",19,0.05,0.050251256281407,0
"Parametric linear","mfscreen",19,0.1,0.101507537688442,0
"Parametric linear","mfscreen",19,0.2,0.220100502512563,1
