"method","replication","q","fpr"
"Pearson SIS",26,0.005,0.056
"Pearson SIS",26,0.01,0.073
"Pearson SIS",26,0.025,0.115
"Pearson SIS",26,0.05,0.163
"Pearson SIS",26,0.1,0.243
"Pearson SIS",26,0.2,0.397
"Pearson SIS",26,0.3,0.494
"Spearman SIS",26,0.001,0.004
"Spearman SIS",26,0.005,0.01
"Spearman SIS",26,0.01,0.023
"Spearman SIS",26,0.025,0.039
"Spearman SIS",26,0.05,0.064
"Spearman SIS",26,0.1,0.139
"Spearman SIS",26,0.2,0.243
"Spearman SIS",26,0.3,0.349
"mfscreen",27,0.001,0
"mfscreen",27,0.005,0.004
"mfscreen",27,0.01,0.01
"mfscreen",27,0.025,0.03
"mfscreen",27,0.05,0.064
"mfscreen",27,0.1,0.111
"mfscreen",27,0.2,0.216
"mfscreen",27,0.3,0.318
"Pearson SIS",27,0.001,0.037
"Pearson SIS",27,0.005,0.078
"Pearson SIS",27,0.01,0.101
"Pearson SIS",27,0.025,0.162
"Pearson SIS",27,0.05,0.215
"Pearson SIS",27,0.1,0.309
"Pearson SIS",27,0.2,0.414
"Pearson SIS",27,0.3,0.526
"Spearman SIS",27,0.001,0.001
"Spearman SIS",27,0.005,0.006
"Spearman SIS",27,0.01,0.017
"Spearman SIS",27,0.025,0.038
"Spearman SIS",27,0.05,0.076
"Spearman SIS",27,0.1,0.143
"Spearman SIS",27,0.2,0.279
"Spearman SIS",27,0.3,0.371
"mfscreen",28,0.001,0.002
"mfscreen",28,0.005,0.003
"mfscreen",28,0.01,0.009
"mfscreen",28,0.025,0.028
"mfscreen",28,0.05,0.066
"mfscreen",28,0.1,0.124
"mfscreen",28,0.2,0.233
"mfscreen",28,0.3,0.333
"Pearson SIS",28,0.001,0.041
"Pearson SIS",28,0.005,0.086
"Pearson SIS",28,0.01,0.12
"Pearson SIS",28,0.025,0.182
"Pearson SIS",28,0.05,0.24
"Pearson SIS",28,0.1,0.321
"Pearson SIS",28,0.2,0.439
"Pearson SIS",28,0.3,0.526
"Spearman SIS",28,0.001,0.002
"Spearman SIS",28,0.005,0.01
"Spearman SIS",28,0.01,0.021
"Spearman SIS",28,0.025,0.04
"Spearman SIS",28,0.05,0.082
"Spearman SIS",28,0.1,0.14
"Spearman SIS",28,0.2,0.247
"Spearman SIS",28,0.3,0.347
"mfscreen",29,0.001,0.002
"mfscreen",29,0.005,0.006
"mfscreen",29,0.01,0.011
"mfscreen",29,0.025,0.022
"mfscreen",29,0.05,0.055
"mfscreen",29,0.1,0.105
"mfscreen",29,0.2,0.19
"mfscreen",29,0.3,0.291
"Pearson SIS",29,0.001,0.052
"Pearson SIS",29,0.005,0.1
"Pearson SIS",29,0.01,0.129
"Pearson SIS",29,0.025,0.171
"Pearson SIS",29,0.05,0.239
"Pearson SIS",29,0.1,0.318
"Pearson SIS",29,0.2,0.432
"Pearson SIS",29,0.3,0.529
"Spearman SIS",29,0.001,0.001
"Spearman SIS",29,0.005,0.009
"Spearman SIS",29,0.01,0.013
"Spearman SIS",29,0.025,0.039
"Spearman SIS",29,0.05,0.069
"Spearman SIS",29,0.1,0.12
"Spearman SIS",29,0.2,0.225
"Spearman SIS",29,0.3,0.346
"mfscreen",30,0.001,0.001
"mfscreen",30,0.005,0.007
"mfscreen",30,0.01,0.013
"mfscreen",30,0.025,0.036
"mfscreen",30,0.05,0.058
"mfscreen",30,0.1,0.112
"mfscreen",30,0.2,0.227
"mfscreen",30,0.3,0.329
"Pearson SIS",30,0.001,0.052
"Pearson SIS",30,0.005,0.097
"Pearson SIS",30,0.01,0.133
"Pearson SIS",30,0.025,0.199
"Pearson SIS",30,0.05,0.272
"Pearson SIS",30,0.1,0.355
"Pearson SIS",30,0.2,0.472
"Pearson SIS",30,0.3,0.559
"Spearman SIS",30,0.001,0.002
"Spearman SIS",30,0.005,0.011
"Spearman SIS",30,0.01,0.017
"Spearman SIS",30,0.025,0.04
"Spearman SIS",30,0.05,0.078
"Spearman SIS",30,0.1,0.137
"Spearman SIS",30,0.2,0.23
"Spearman SIS",30,0.3,0.353
"mfscreen",31,0.001,0
"mfscreen",31,0.005,0.005
"mfscreen",31,0.01,0.014
"mfscreen",31,0.025,0.036
"mfscreen",31,0.05,0.055
"mfscreen",31,0.1,0.1
"mfscreen",31,0.2,0.192
"mfscreen",31,0.3,0.301
"Pearson SIS",31,0.001,0.034
"Pearson SIS",31,0.005,0.062
"Pearson SIS",31,0.01,0.088
"Pearson SIS",31,0.025,0.137
"Pearson SIS",31,0.05,0.186
"Pearson SIS",31,0.1,0.276
"Pearson SIS",31,0.2,0.392
"Pearson SIS",31,0.3,0.489
"Spearman SIS",31,0.001,0.002
"Spearman SIS",31,0.005,0.009
"Spearman SIS",31,0.01,0.016
"Spearman SIS",31,0.025,0.042
"Spearman SIS",31,0.05,0.076
"Spearman SIS",31,0.1,0.146
"Spearman SIS",31,0.2,0.265
"Spearman SIS",31,0.3,0.364
"mfscreen",32,0.001,0.001
"mfscreen",32,0.005,0.005
"mfscreen",32,0.01,0.012
"mfscreen",32,0.025,0.026
"mfscreen",32,0.05,0.051
"mfscreen",32,0.1,0.097
"mfscreen",32,0.2,0.207
"mfscreen",32,0.3,0.289
"Pearson SIS",32,0.001,0.029
"Pearson SIS",32,0.005,0.052
"Pearson SIS",32,0.01,0.08
"Pearson SIS",32,0.025,0.133
"Pearson SIS",32,0.05,0.18
"Pearson SIS",32,0.1,0.255
"Pearson SIS",32,0.2,0.369
"Pearson SIS",32,0.3,0.475
"Spearman SIS",32,0.001,0.002
